normal_period,region_name,month,variable,variable_label,unit,normal_value,p33_33,p66_67,lower_tercile,middle_tercile,upper_tercile
1991-2020,강원도,1,precip,강수량,mm,28.7033,16.5129,35.3815,< 16.5129 (적음),16.5129 - 35.3815 (비슷),> 35.3815 (많음)
1991-2020,강원도,1,tavg,평균기온,degC,-3.6887,-4.3897,-2.983,< -4.3897 (낮음),-4.3897 - -2.983 (비슷),> -2.983 (높음)
1991-2020,강원도,2,precip,강수량,mm,33.6848,20.1586,44.3003,< 20.1586 (적음),20.1586 - 44.3003 (비슷),> 44.3003 (많음)
1991-2020,강원도,2,tavg,평균기온,degC,-1.1174,-1.7762,-0.4181,< -1.7762 (낮음),-1.7762 - -0.4181 (비슷),> -0.4181 (높음)
1991-2020,강원도,3,precip,강수량,mm,46.8496,27.9476,57.5746,< 27.9476 (적음),27.9476 - 57.5746 (비슷),> 57.5746 (많음)
1991-2020,강원도,3,tavg,평균기온,degC,4.2796,3.6231,4.6961,< 3.6231 (낮음),3.6231 - 4.6961 (비슷),> 4.6961 (높음)
1991-2020,강원도,4,precip,강수량,mm,76.9593,55.5868,86.2708,< 55.5868 (적음),55.5868 - 86.2708 (비슷),> 86.2708 (많음)
1991-2020,강원도,4,tavg,평균기온,degC,10.7722,10.2109,11.5291,< 10.2109 (낮음),10.2109 - 11.5291 (비슷),> 11.5291 (높음)
1991-2020,강원도,5,precip,강수량,mm,94.2133,78.8444,111.9151,< 78.8444 (적음),78.8444 - 111.9151 (비슷),> 111.9151 (많음)
1991-2020,강원도,5,tavg,평균기온,degC,16.2646,15.75,16.5824,< 15.75 (낮음),15.75 - 16.5824 (비슷),> 16.5824 (높음)
1991-2020,강원도,6,precip,강수량,mm,129.013,81.6169,136.0144,< 81.6169 (적음),81.6169 - 136.0144 (비슷),> 136.0144 (많음)
1991-2020,강원도,6,tavg,평균기온,degC,20.3518,20.1266,20.7393,< 20.1266 (낮음),20.1266 - 20.7393 (비슷),> 20.7393 (높음)
1991-2020,강원도,7,precip,강수량,mm,334.4793,249.6873,377.6734,< 249.6873 (적음),249.6873 - 377.6734 (비슷),> 377.6734 (많음)
1991-2020,강원도,7,tavg,평균기온,degC,23.3874,22.9135,24.0065,< 22.9135 (낮음),22.9135 - 24.0065 (비슷),> 24.0065 (높음)
1991-2020,강원도,8,precip,강수량,mm,310.6026,231.8516,336.865,< 231.8516 (적음),231.8516 - 336.865 (비슷),> 336.865 (많음)
