year,onset_proxy,distance_to_2026,jja_tavg,jja_tavg_dep,jja_tmax,jja_tmax_dep,jja_precip,jja_precip_dep,jja_precip_ratio,ao_jfm,nao_jfm,ao_mar,nao_mar,arctic_jfm,barents_jfm,kara_jfm,arctic_jfm_z,barents_jfm_z,kara_jfm_z
2009,ONI JAS(+0.6); RONI ASO(+0.6),1.3458,23.1311,-0.5754,27.8998,-0.5602,783.6919,56.4938,107.7687,0.0829,0.2071,0.1213,0.5723,14.5667,0.6256,0.9082,-0.1254,-0.3113,0.0679
2004,ONI JAS(+0.6); RONI MJJ(+0.5),1.5151,23.8241,0.1176,28.7464,0.2864,860.2823,133.0842,118.3010,-0.9654,0.1967,0.3181,1.0200,14.6433,0.8796,0.9180,0.0404,1.2120,0.5748
2002,ONI MJJ(+0.7); RONI MJJ(+0.7),1.6046,22.9440,-0.7626,27.5870,-0.8730,926.3065,199.1084,127.3802,1.1956,0.7433,0.9020,0.6900,14.9867,0.7867,0.9179,0.7826,0.6551,0.5708
1994,ONI ASO(+0.6),1.6579,25.1396,1.4331,30.4855,2.0255,418.5516,-308.6465,57.5568,0.2439,0.9200,1.8810,1.2600,15.2800,0.8964,0.9180,1.4167,1.3126,0.5734
2018,ONI ASO(+0.5),1.6908,25.2644,1.5579,30.4351,1.9751,620.6033,-106.5948,85.3417,-0.3697,0.6977,-0.9411,-0.9269,13.7833,0.4818,0.8960,-1.8188,-1.1739,-0.5621
2023,RONI JJA(+0.6),1.6994,24.7259,1.0194,29.3118,0.8518,1015.6597,288.4616,139.6675,0.4021,0.3547,0.2803,-1.1088,13.9933,0.4079,0.9039,-1.3648,-1.6175,-0.1547
1986,ONI ASO(+0.7); RONI JAS(+0.6),1.7702,22.8156,-0.8909,27.4083,-1.0517,682.3179,-44.8802,93.8283,-0.5136,0.6067,1.9308,1.7100,15.5267,0.9018,0.9174,1.9499,1.3450,0.5464
1991,ONI MJJ(+0.6),1.8272,23.2315,-0.4750,27.7303,-0.7297,783.6854,56.4873,107.7678,-0.2265,0.5667,-0.5268,-0.2000,15.0100,0.7513,0.9180,0.8330,0.4427,0.5744
2006,ONI ASO(+0.5); RONI ASO(+0.5),2.0626,23.4611,-0.2454,28.2078,-0.2522,921.3532,194.1551,126.6991,-0.6434,-0.1745,-1.6038,-1.2779,14.0700,0.5459,0.9094,-1.1991,-0.7894,0.1300
1976,ONI ASO(+0.6); RONI JJA(+0.5),,22.4761,-1.2304,26.9766,-1.4834,573.4124,-153.7857,78.8523,0.7592,0.4767,0.5871,0.7500,,,,,,
1977,ONI ASO(+0.6); RONI JAS(+0.6),,23.4404,-0.2661,28.3964,-0.0636,378.4715,-348.7266,52.0452,-1.8110,-0.7800,0.3445,-0.8100,,,,,,
