index,year,season,value,selected_summer_analog
ONI,1976,ASO,0.6,Y
ONI,1977,ASO,0.6,Y
ONI,1982,AMJ,0.7,
ONI,1986,ASO,0.7,Y
ONI,1991,MJJ,0.6,Y
ONI,1994,ASO,0.6,Y
ONI,1997,AMJ,0.8,
ONI,2002,MJJ,0.7,Y
ONI,2004,JAS,0.6,Y
ONI,2006,ASO,0.5,Y
ONI,2009,JAS,0.6,Y
ONI,2014,SON,0.5,
ONI,2018,ASO,0.5,Y
ONI,2019,OND,0.6,
ONI,2023,AMJ,0.6,
RONI,1976,JJA,0.5,Y
RONI,1977,JAS,0.6,Y
RONI,1979,SON,0.5,
RONI,1982,MAM,0.6,
RONI,1986,JAS,0.6,Y
RONI,1991,AMJ,0.5,
RONI,1993,DJF,0.5,
RONI,1994,MAM,0.5,
RONI,1997,MAM,0.5,
RONI,2002,MJJ,0.7,Y
RONI,2004,MJJ,0.5,Y
RONI,2006,ASO,0.5,Y
RONI,2009,ASO,0.6,Y
RONI,2015,FMA,0.5,
RONI,2018,SON,0.7,
RONI,2023,JJA,0.6,Y
